Job Title,Company,Location,Skills,Experience Required,Salary,Date Posted
Data Scientist,Amazon,"Mumbai, India","Tableau, Excel, R",6+ years,₹10L per annum,Posted 9 days ago
Data Scientist,Google,"Chennai, India","Data Wrangling, Pandas, NumPy",6+ years,₹17L per annum,Posted 13 days ago
Data Scientist,Flipkart,"Chennai, India","Machine Learning, Deep Learning",9+ years,₹9L per annum,Posted 7 days ago
Machine Learning Engineer,Infosys,"Pune, India","Machine Learning, Deep Learning",4+ years,₹19L per annum,Posted 5 days ago
Machine Learning Engineer,Deloitte,"Pune, India","Python, SQL, Power BI",3+ years,₹6L per annum,Posted 9 days ago
Senior Data Analyst,Deloitte,"Chennai, India","Data Wrangling, Pandas, NumPy",1+ years,₹20L per annum,Posted 7 days ago
Senior Data Analyst,Google,"Delhi, India","Python, SQL, Power BI",5+ years,₹18L per annum,Posted 5 days ago
Data Scientist,Flipkart,"Mumbai, India","Data Wrangling, Pandas, NumPy",3+ years,₹17L per annum,Posted 11 days ago
Machine Learning Engineer,Deloitte,"Hyderabad, India","Python, SQL, Power BI",1+ years,₹15L per annum,Posted 12 days ago
Senior Data Analyst,TCS,"Bangalore, India","Data Wrangling, Pandas, NumPy",9+ years,₹19L per annum,Posted 11 days ago
Data Analyst,Wipro,"Hyderabad, India","Data Wrangling, Pandas, NumPy",9+ years,₹6L per annum,Posted 1 days ago
Senior Data Analyst,Google,"Pune, India","Machine Learning, Deep Learning",1+ years,₹20L per annum,Posted 2 days ago
Machine Learning Engineer,TCS,"Hyderabad, India","Data Wrangling, Pandas, NumPy",6+ years,₹19L per annum,Posted 11 days ago
Data Scientist,Infosys,"Delhi, India","Python, SQL, Power BI",2+ years,₹14L per annum,Posted 6 days ago
Senior Data Analyst,Wipro,"Delhi, India","Tableau, Excel, R",3+ years,₹20L per annum,Posted 9 days ago
Data Scientist,Google,"Pune, India","Machine Learning, Deep Learning",5+ years,₹19L per annum,Posted 14 days ago
Data Scientist,Google,"Chennai, India","Tableau, Excel, R",6+ years,₹8L per annum,Posted 12 days ago
Data Analyst,Amazon,"Chennai, India","Python, SQL, Power BI",2+ years,₹20L per annum,Posted 14 days ago
Data Analyst,Google,"Bangalore, India","Machine Learning, Deep Learning",5+ years,₹12L per annum,Posted 3 days ago
Data Analyst,Amazon,"Mumbai, India","Machine Learning, Deep Learning",5+ years,₹9L per annum,Posted 4 days ago
Data Analyst,Infosys,"Delhi, India","Data Wrangling, Pandas, NumPy",1+ years,₹17L per annum,Posted 6 days ago
Data Scientist,Flipkart,"Bangalore, India","Tableau, Excel, R",8+ years,₹13L per annum,Posted 8 days ago
Senior Data Analyst,Deloitte,"Mumbai, India","Python, SQL, Power BI",1+ years,₹7L per annum,Posted 10 days ago
Data Analyst,Infosys,"Chennai, India","Data Wrangling, Pandas, NumPy",1+ years,₹20L per annum,Posted 4 days ago
Data Analyst,TCS,"Chennai, India","Python, SQL, Power BI",8+ years,₹14L per annum,Posted 13 days ago
Data Scientist,Flipkart,"Mumbai, India","Python, SQL, Power BI",1+ years,₹7L per annum,Posted 6 days ago
Senior Data Analyst,Google,"Delhi, India","Tableau, Excel, R",6+ years,₹11L per annum,Posted 3 days ago
Data Analyst,Infosys,"Bangalore, India","Data Wrangling, Pandas, NumPy",3+ years,₹20L per annum,Posted 8 days ago
Data Scientist,Wipro,"Delhi, India","Data Wrangling, Pandas, NumPy",7+ years,₹15L per annum,Posted 12 days ago
Senior Data Analyst,Deloitte,"Mumbai, India","Tableau, Excel, R",9+ years,₹12L per annum,Posted 1 days ago
Machine Learning Engineer,Google,"Delhi, India","Python, SQL, Power BI",10+ years,₹19L per annum,Posted 10 days ago
Data Analyst,Infosys,"Pune, India","Python, SQL, Power BI",10+ years,₹20L per annum,Posted 5 days ago
Machine Learning Engineer,Flipkart,"Hyderabad, India","Data Wrangling, Pandas, NumPy",9+ years,₹19L per annum,Posted 12 days ago
Machine Learning Engineer,Flipkart,"Pune, India","Data Wrangling, Pandas, NumPy",1+ years,₹11L per annum,Posted 8 days ago
Data Analyst,Amazon,"Delhi, India","Python, SQL, Power BI",5+ years,₹13L per annum,Posted 13 days ago
Machine Learning Engineer,Wipro,"Delhi, India","Machine Learning, Deep Learning",8+ years,₹6L per annum,Posted 3 days ago
Data Scientist,Flipkart,"Hyderabad, India","Machine Learning, Deep Learning",9+ years,₹17L per annum,Posted 9 days ago
Machine Learning Engineer,Infosys,"Mumbai, India","Machine Learning, Deep Learning",10+ years,₹6L per annum,Posted 5 days ago
Data Analyst,TCS,"Bangalore, India","Data Wrangling, Pandas, NumPy",9+ years,₹18L per annum,Posted 1 days ago
Data Scientist,Google,"Chennai, India","Machine Learning, Deep Learning",7+ years,₹20L per annum,Posted 8 days ago
Senior Data Analyst,Wipro,"Chennai, India","Data Wrangling, Pandas, NumPy",4+ years,₹14L per annum,Posted 13 days ago
Data Scientist,Flipkart,"Hyderabad, India","Machine Learning, Deep Learning",5+ years,₹15L per annum,Posted 7 days ago
Data Analyst,Deloitte,"Hyderabad, India","Machine Learning, Deep Learning",2+ years,₹20L per annum,Posted 13 days ago
Data Analyst,Deloitte,"Delhi, India","Machine Learning, Deep Learning",5+ years,₹8L per annum,Posted 1 days ago
Data Scientist,Amazon,"Pune, India","Python, SQL, Power BI",6+ years,₹16L per annum,Posted 3 days ago
Machine Learning Engineer,Infosys,"Bangalore, India","Python, SQL, Power BI",7+ years,₹15L per annum,Posted 12 days ago
Data Analyst,Deloitte,"Chennai, India","Tableau, Excel, R",10+ years,₹11L per annum,Posted 6 days ago
Senior Data Analyst,Infosys,"Bangalore, India","Tableau, Excel, R",10+ years,₹20L per annum,Posted 9 days ago
Senior Data Analyst,TCS,"Bangalore, India","Tableau, Excel, R",2+ years,₹19L per annum,Posted 12 days ago
Senior Data Analyst,Amazon,"Pune, India","Python, SQL, Power BI",5+ years,₹17L per annum,Posted 9 days ago
